pat,n,tau,fmi,emi,jmi
2,256,0.7,0.87713969687661 0.0700063156699873 0.00750483124971882,0.872220606721979 0.0805423828698577 0.00961279270199894,0.956223332606922 0.099836179582571 0.028212743383951
2,256,0.8,1.26031460838083 0.0741850444588752 0.00741651839785359,1.24898989951993 0.0842814011020589 0.0101346470537642,1.35081219623514 0.121195649878199 0.0358908285781155
2,256,0.9,1.93367328793098 0.073145922020272 0.00647895456058077,1.91791209159014 0.0877789005791652 0.0101417503792133,2.13744426913978 0.0710586479582082 0.0692631316836457
3,64,0,0.00822361431948031 0.0083544251593202 0.000137145066539273,0.0380050699597041 0.0376694708219617 0.00285769841852061,0.0502728730634179 0.0844107991051159 0.0096240440395925
3,64,0.1,0.0132251335557361 0.0149160925660488 0.000254948940618265,0.0567696537235711 0.0535391581099025 0.00428152242771114,0.0851543981109903 0.107200453996218 0.0158223739770746
3,64,0.2,0.0325244279714122 0.0334692109944181 0.00267402811923474,0.0985649108072693 0.0680756665563444 0.0053214536777804,0.14889535718875 0.139119129889358 0.0251896117291528
3,64,0.3,0.0831858220039366 0.060622215278181 0.00910888564652771,0.190618536402067 0.0906185440781711 0.00930907963854115,0.262206204272966 0.145062873415356 0.0320274097120705
3,64,0.4,0.178529893396105 0.096552480985652 0.0126708398010079,0.315412306429517 0.105271142025858 0.0185915735263137,0.413491979704066 0.168302131691068 0.0473923335439819
3,64,0.5,0.3288430675583 0.12678728200648 0.017326184800555,0.468269408341997 0.129319859548931 0.0272980842802418,0.587025264836541 0.186540311779217 0.0586909315046525
3,64,0.6,0.5159145709306 0.134364059874336 0.0185504153580656,0.659852244642698 0.140009307195595 0.0339447059517668,0.799075607826601 0.193119274946805 0.0637395280065712
3,64,0.7,0.810725892164098 0.14365842249605 0.0209671872098847,0.931297680292274 0.15595786009085 0.0342804594099068,1.1055207044995 0.210512877675553 0.0819767134595565
3,64,0.8,1.18925154792668 0.154441426511056 0.0244033127543192,1.28257231531499 0.169491633620682 0.0427136990817482,1.52101305801017 0.229063552858354 0.0976347936859447
3,64,0.9,1.8628842581266 0.169617616418395 0.0355424692543137,1.92000955477855 0.178424528943392 0.0513403923992889,2.29089686019138 0.235366696887366 0.138060494183709
3,128,0,0.00400165475415055 0.00323135908479678 2.64131555801748e-05,0.00393272775741894 0.02296067814688 0.000540550317614729,0.0275343254927703 0.0518291633889252 0.00343365620922734
3,128,0.1,0.0111180191031095 0.0114967269731548 0.000193771655029832,0.0181839168578657 0.0268770187074645 0.000720150629757869,0.0506624604921722 0.0581483271643475 0.00437021444462231
3,128,0.2,0.0443148588335348 0.0347659067242689 0.00159585959012227,0.0676136923891819 0.0397863255714253 0.00197030063868623,0.115760035357333 0.0674446515354574 0.00644552659113139
3,128,0.3,0.139779885746046 0.0634294461095534 0.004029486386893,0.161720691862781 0.0755793131300603 0.00598591597783808,0.228300639739283 0.0936867295321027 0.0138258757044908
3,128,0.4,0.248765930989371 0.0704585348239346 0.00496319990753146,0.279318842265468 0.0773992950627086 0.00665491464955386,0.371453239503688 0.105272534925631 0.0203412047939853
3,128,0.5,0.392564334696764 0.0777194554391596 0.00615331553730998,0.443711662502202 0.086484859324656 0.00900488406674474,0.5384107058713 0.11562356653581 0.0246385722259352
3,128,0.6,0.595587773019616 0.0925207959147501 0.00862953765134203,0.64618235558945 0.113717390717652 0.0145130664613386,0.758859815235331 0.124659621592207 0.0305723953701499
3,128,0.7,0.898799466591554 0.116548612518519 0.0135740960656573,0.917697111465808 0.132874275976548 0.0177338039388773,1.06102455605544 0.15655189423624 0.0469178290262305
3,128,0.8,1.29302423063964 0.11185661293665 0.0126154424970682,1.29560692746574 0.126223300051127 0.0160928658578284,1.50091072169216 0.16488723476607 0.064293595531837
3,128,0.9,1.9747178137364 0.118130761280676 0.0178938659853022,1.93979550070135 0.133511964157297 0.0185540248546958,2.23065890386435 0.141505655416297 0.0717723316214547
