pat,n,rho,fmi,emi,jmi
2,512,0.5,0.0913658946453156 0.0218021181043595 0.00343216705624469,0.0633271511303561 0.0260746302952396 0.00695686738230561,0.336922018971542 0.0847774672145454 0.0444531104074453
2,512,0.6,0.146397831080079 0.0261907998308794 0.00696373738622616,0.122544007201523 0.0328021916878989 0.01080485435547,0.469245561081073 0.090313507871424 0.0687064158559229
2,512,0.7,0.2324101942355 0.0321629894772591 0.0123308906702838,0.2145124326658 0.0382522589566188 0.0159554164541479,0.628934811978316 0.0974787276817425 0.0949004877128753
2,512,0.8,0.372849025578163 0.0367442449868963 0.021001138117674,0.36578577259938 0.0443568656833996 0.0223839976870104,0.854596487285209 0.0946233351113467 0.127114075001248
2,512,0.9,0.665580251911654 0.0427666110746906 0.0258025169768117,0.675519899821597 0.0492937303259751 0.0295792241744567,1.2069693298905 0.125607106526231 0.157575957717852
3,128,0,0.047881390842998 0.0315759347829282 0.00103163094027765,0.00604858348514316 0.0399897104749546 0.00388860617904289,0.0693783547282704 0.116040747674596 0.0182518803154391
3,128,0.1,0.0596280001558608 0.0426078889920226 0.00256784807066141,0.0451272759988414 0.0490061028897312 0.00257242756417413,0.23217660045072 0.143077007479095 0.0458607279304568
3,128,0.2,0.149083510991998 0.0594196194699878 0.00845345801069373,0.159124837274021 0.0662964119941337 0.0108271382344044,0.527465749415948 0.169634825633163 0.117598831875285
3,128,0.3,0.26208718251753 0.0713392301012724 0.0128633056744087,0.271945910181355 0.0905429427021481 0.017802655146871,0.70504622724587 0.18328546362253 0.152463216775346
3,128,0.4,0.358509001894769 0.0799907018590959 0.0166851625718687,0.364889872556644 0.0933082377273857 0.0203243176295967,0.828575255693118 0.179239283544679 0.163250721219591
3,128,0.5,0.434597857902631 0.0780663090061293 0.0174517264657162,0.448188296153044 0.091471746082687 0.0228028598542031,0.946362029732026 0.17787450621727 0.184883989921297
3,128,0.6,0.505637477968129 0.0830637676280494 0.0181029264892188,0.52441582010898 0.0918598233089599 0.0239687783181681,1.01577093022202 0.171388379428325 0.177882404301272
