sampsize,val_tau,name,value,family,type
256,0.25,pow.gumbel.jmi,0.9575757575757575,Gumbel,jmi
256,0.25,pow.gumbel.emi,1,Gumbel,emi
256,0.25,pow.clayton.fmi,1,Clayton,fmi
256,0.25,pow.clayton.jmi,0.9636363636363636,Clayton,jmi
256,0.25,pow.clayton.emi,0.9939393939393939,Clayton,emi
256,0.3,pow.gauss.fmi,1,Gauss,fmi
256,0.3,pow.gauss.jmi,0.9878787878787879,Gauss,jmi
256,0.3,pow.gauss.emi,1,Gauss,emi
256,0.3,pow.gumbel.fmi,1,Gumbel,fmi
256,0.3,pow.gumbel.jmi,0.9878787878787879,Gumbel,jmi
256,0.3,pow.gumbel.emi,1,Gumbel,emi
256,0.3,pow.clayton.fmi,1,Clayton,fmi
256,0.3,pow.clayton.jmi,1,Clayton,jmi
256,0.3,pow.clayton.emi,1,Clayton,emi
256,0.35,pow.gauss.fmi,1,Gauss,fmi
256,0.35,pow.gauss.jmi,1,Gauss,jmi
256,0.35,pow.gauss.emi,1,Gauss,emi
256,0.35,pow.gumbel.fmi,1,Gumbel,fmi
256,0.35,pow.gumbel.jmi,1,Gumbel,jmi
256,0.35,pow.gumbel.emi,1,Gumbel,emi
256,0.35,pow.clayton.fmi,1,Clayton,fmi
256,0.35,pow.clayton.jmi,1,Clayton,jmi
256,0.35,pow.clayton.emi,1,Clayton,emi
256,0.4,pow.gauss.fmi,1,Gauss,fmi
256,0.4,pow.gauss.jmi,1,Gauss,jmi
256,0.4,pow.gauss.emi,1,Gauss,emi
256,0.4,pow.gumbel.fmi,1,Gumbel,fmi
256,0.4,pow.gumbel.jmi,1,Gumbel,jmi
256,0.4,pow.gumbel.emi,1,Gumbel,emi
256,0.4,pow.clayton.fmi,1,Clayton,fmi
256,0.4,pow.clayton.jmi,1,Clayton,jmi
256,0.4,pow.clayton.emi,1,Clayton,emi
256,0.45,pow.gauss.fmi,1,Gauss,fmi
256,0.45,pow.gauss.jmi,1,Gauss,jmi
256,0.45,pow.gauss.emi,1,Gauss,emi
256,0.45,pow.gumbel.fmi,1,Gumbel,fmi
256,0.45,pow.gumbel.jmi,1,Gumbel,jmi
256,0.45,pow.gumbel.emi,1,Gumbel,emi
256,0.45,pow.clayton.fmi,1,Clayton,fmi
256,0.45,pow.clayton.jmi,1,Clayton,jmi
256,0.45,pow.clayton.emi,1,Clayton,emi
256,0.5,pow.gauss.fmi,1,Gauss,fmi
256,0.5,pow.gauss.jmi,1,Gauss,jmi
256,0.5,pow.gauss.emi,1,Gauss,emi
256,0.5,pow.gumbel.fmi,1,Gumbel,fmi
256,0.5,pow.gumbel.jmi,1,Gumbel,jmi
256,0.5,pow.gumbel.emi,1,Gumbel,emi
256,0.5,pow.clayton.fmi,1,Clayton,fmi
256,0.5,pow.clayton.jmi,1,Clayton,jmi
256,0.5,pow.clayton.emi,1,Clayton,emi
